
2024/08/14 (10:07:39) | ===> btop++ v.1.3.2
2024/08/14 (10:07:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:29:53) | ===> btop++ v.1.3.2
2024/08/14 (15:29:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:30:19) | ===> btop++ v.1.3.2
2024/08/14 (15:30:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:31:03) | ===> btop++ v.1.3.2
2024/08/14 (15:31:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:31:33) | ===> btop++ v.1.3.2
2024/08/14 (15:31:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:34:31) | ===> btop++ v.1.3.2
2024/08/14 (15:34:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (17:03:56) | ===> btop++ v.1.3.2
2024/08/14 (17:03:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (17:05:06) | ===> btop++ v.1.3.2
2024/08/14 (17:05:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (17:38:46) | ===> btop++ v.1.3.2
2024/08/14 (17:38:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (20:02:35) | ===> btop++ v.1.3.2
2024/08/14 (20:02:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (20:07:46) | ===> btop++ v.1.3.2
2024/08/14 (20:07:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (20:07:52) | ERROR: Stall in Runner thread, restarting!
2024/08/14 (20:07:58) | ERROR: Stall in Runner thread, restarting!

2024/08/14 (20:45:47) | ===> btop++ v.1.3.2
2024/08/14 (20:45:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (21:04:42) | ===> btop++ v.1.3.2
2024/08/14 (21:04:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (21:12:27) | ===> btop++ v.1.3.2
2024/08/14 (21:12:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (21:12:38) | ===> btop++ v.1.3.2
2024/08/14 (21:12:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (21:13:37) | ===> btop++ v.1.3.2
2024/08/14 (21:13:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (07:05:05) | ===> btop++ v.1.3.2
2024/08/15 (07:05:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (07:20:34) | ===> btop++ v.1.3.2
2024/08/15 (07:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/15 (07:20:56) | ERROR: Stall in Runner thread, restarting!
2024/08/15 (07:21:02) | ERROR: Stall in Runner thread, restarting!
2024/08/15 (07:21:08) | ERROR: Stall in Runner thread, restarting!

2024/08/15 (08:19:21) | ===> btop++ v.1.3.2
2024/08/15 (08:19:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (08:46:10) | ===> btop++ v.1.3.2
2024/08/15 (08:46:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (10:30:13) | ===> btop++ v.1.3.2
2024/08/15 (10:30:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (14:50:38) | ===> btop++ v.1.3.2
2024/08/15 (14:50:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (14:55:01) | ===> btop++ v.1.3.2
2024/08/15 (14:55:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (15:05:13) | ===> btop++ v.1.3.2
2024/08/15 (15:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (15:21:37) | ===> btop++ v.1.3.2
2024/08/15 (15:21:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (15:26:53) | ===> btop++ v.1.3.2
2024/08/15 (15:26:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (18:39:30) | ===> btop++ v.1.3.2
2024/08/15 (18:39:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (20:27:02) | ===> btop++ v.1.3.2
2024/08/15 (20:27:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (21:19:23) | ===> btop++ v.1.3.2
2024/08/15 (21:19:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (08:04:23) | ===> btop++ v.1.3.2
2024/08/16 (08:04:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (09:00:27) | ===> btop++ v.1.3.2
2024/08/16 (09:00:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (15:24:19) | ===> btop++ v.1.3.2
2024/08/16 (15:24:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (19:59:04) | ===> btop++ v.1.3.2
2024/08/16 (19:59:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (20:26:54) | ===> btop++ v.1.3.2
2024/08/16 (20:26:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (20:35:50) | ===> btop++ v.1.3.2
